label,message
spam,Congratulations! You have won a $500 cash prize. Claim now.
ham,Don't forget your train ticket for tomorrow.
ham,Your appointment is confirmed for Tuesday at 2 PM.
spam,You have been chosen for a limited-time cash reward.
spam,FREE entry! Text WIN to 8000 for a chance to win.
ham,I have attached the document you requested.
spam,You are a lucky winner! Call now to claim your free gift.
ham,Please send me the notes from the class when you get a chance.
ham,Please remember to bring your ID to the office.
ham,I will be late by about 15 minutes. Sorry!
spam,Lowest price guaranteed! Order today and save 90 percent.
ham,Please remember to bring your ID to the office.
spam,Get cheap loans with zero paperwork. Apply today.
spam,You are a lucky winner! Call now to claim your free gift.
ham,I have attached the document you requested.
spam,Win big prizes with this special promotion. Click the link now.
spam,Win big prizes with this special promotion. Click the link now.
spam,FREE entry! Text WIN to 8000 for a chance to win.
ham,The package has been delivered to the reception desk.
spam,Special deal just for you! Get premium access for a tiny fee.
spam,Exclusive offer! Buy now and get 80% OFF.
ham,I will be late by about 15 minutes. Sorry!
spam,URGENT! Your account has been selected for a special reward. Click here.
ham,Your monthly statement is available in the banking app.
spam,Your reward is waiting. Verify your details immediately.
ham,The report has been updated and is ready for review.
spam,Lowest price guaranteed! Order today and save 80 percent.
spam,URGENT! Your account has been selected for a special reward. Click here.
ham,I will be late by about 15 minutes. Sorry!
spam,Exclusive offer! Buy now and get 50% OFF.
ham,Your appointment is confirmed for Saturday at 6 PM.
ham,The package has been delivered to the reception desk.
spam,"Congratulations! You have won a $5,000 cash prize. Claim now."
ham,Your appointment is confirmed for Monday at 9 AM.
spam,You have been chosen for a limited-time cash reward.
ham,The project deadline has been moved to Friday.
ham,The lecture has been moved to the afternoon.
spam,"Congratulations! You have won a $1,000 cash prize. Claim now."
spam,Win big prizes with this special promotion. Click the link now.
spam,You are a lucky winner! Call now to claim your free gift.
ham,The lecture has been moved to the afternoon.
ham,Are you free this weekend for the family event?
ham,I will be late by about 15 minutes. Sorry!
spam,Earn money from home with no experience. Register now.
ham,Can you call me after work? I need to discuss the project.
ham,Reminder: the team meeting is in room 301.
spam,Claim your free vacation package today. Limited slots available.
spam,Win big prizes with this special promotion. Click the link now.
ham,Reminder: the team meeting is in room 301.
ham,Lunch at the usual place tomorrow?
ham,I will be late by about 15 minutes. Sorry!
spam,You are a lucky winner! Call now to claim your free gift.
spam,Exclusive offer! Buy now and get 90% OFF.
ham,"Hi, are we still meeting at 6 PM today?"
ham,Meeting notes are attached. Let me know if anything is missing.
ham,Your monthly statement is available in the banking app.
spam,You are a lucky winner! Call now to claim your free gift.
spam,Win big prizes with this special promotion. Click the link now.
spam,You have been chosen for a limited-time cash reward.
ham,Lunch at the usual place tomorrow?
spam,Your mobile number has won a lottery prize. Send your details to receive it.
spam,Lowest price guaranteed! Order today and save 50 percent.
ham,I will be late by about 15 minutes. Sorry!
ham,The package has been delivered to the reception desk.
spam,Your mobile number has won a lottery prize. Send your details to receive it.
ham,Lunch at the usual place tomorrow?
spam,Your mobile number has won a lottery prize. Send your details to receive it.
ham,Your monthly statement is available in the banking app.
ham,The report has been updated and is ready for review.
ham,The lecture has been moved to the afternoon.
spam,Your reward is waiting. Verify your details immediately.
spam,Your reward is waiting. Verify your details immediately.
ham,Lunch at the usual place tomorrow?
ham,Meeting notes are attached. Let me know if anything is missing.
ham,Don't forget your train ticket for tomorrow.
ham,The lecture has been moved to the afternoon.
ham,Thanks for helping me with the assignment yesterday.
spam,URGENT! Your account has been selected for a special reward. Click here.
spam,Claim your free vacation package today. Limited slots available.
spam,URGENT! Your account has been selected for a special reward. Click here.
ham,"Hi, are we still meeting at 6 PM today?"
spam,Special deal just for you! Get premium access for a tiny fee.
spam,Earn money from home with no experience. Register now.
ham,The lecture has been moved to the afternoon.
ham,The package has been delivered to the reception desk.
spam,Get cheap loans with zero paperwork. Apply today.
ham,Can you review the code before we submit it?
ham,The project deadline has been moved to Friday.
ham,The project deadline has been moved to Friday.
spam,Earn money from home with no experience. Register now.
spam,Win big prizes with this special promotion. Click the link now.
ham,The report has been updated and is ready for review.
ham,Can you review the code before we submit it?
ham,I have attached the document you requested.
ham,Don't forget your train ticket for tomorrow.
spam,URGENT! Your account has been selected for a special reward. Click here.
ham,Please send me the notes from the class when you get a chance.
spam,Claim your free vacation package today. Limited slots available.
ham,Are you free this weekend for the family event?
spam,Act now to receive your bonus before the offer expires.
spam,Win big prizes with this special promotion. Click the link now.
spam,Special deal just for you! Get premium access for a tiny fee.
ham,Meeting notes are attached. Let me know if anything is missing.
spam,FREE entry! Text WIN to 5678 for a chance to win.
spam,Special deal just for you! Get premium access for a tiny fee.
spam,Exclusive offer! Buy now and get 70% OFF.
ham,The package has been delivered to the reception desk.
ham,Please remember to bring your ID to the office.
spam,FREE entry! Text WIN to 7777 for a chance to win.
ham,The project deadline has been moved to Friday.
ham,Thanks for helping me with the assignment yesterday.
ham,Your appointment is confirmed for Saturday at 9 AM.
spam,Lowest price guaranteed! Order today and save 90 percent.
ham,I have attached the document you requested.
spam,Your mobile number has won a lottery prize. Send your details to receive it.
spam,Get cheap loans with zero paperwork. Apply today.
ham,Your appointment is confirmed for Saturday at 2 PM.
ham,Please send me the notes from the class when you get a chance.
spam,Claim your free vacation package today. Limited slots available.
ham,I have attached the document you requested.
ham,The report has been updated and is ready for review.
spam,"Congratulations! You have won a $5,000 cash prize. Claim now."
spam,You have been chosen for a limited-time cash reward.
spam,Win big prizes with this special promotion. Click the link now.
ham,Meeting notes are attached. Let me know if anything is missing.
spam,You have been chosen for a limited-time cash reward.
spam,Your mobile number has won a lottery prize. Send your details to receive it.
ham,The report has been updated and is ready for review.
